,選　手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率,球団,成績種別
広島東洋カープ||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,広島東洋カープ,打撃成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,広島東洋カープ,打撃成績
*,石川　雅規,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,岩田　幸宏,70,221,195,24,47,3,4,0,58,5,10,5,6,1,14,1,5,24,1,.241,.297,.307,東京ヤクルトスワローズ,打撃成績
*,太田　賢吾,6,12,11,2,3,0,0,0,3,2,0,0,0,0,1,0,0,4,0,.273,.273,.333,東京ヤクルトスワローズ,打撃成績
*,金久保　優斗,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,小澤　怜史,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,阪口　皓亮,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,澤井　廉,23,68,66,3,14,4,0,1,21,3,0,0,0,0,1,0,1,22,1,.212,.318,.235,東京ヤクルトスワローズ,打撃成績
*,清水　昇,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,荘司　宏太,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,高橋　奎二,6,8,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
